"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"IT","2","1","0","3","0","3"
"ป. ตรีมัธยมศึกษา (ภาษาอังกฤษชั้นสูง)","1","2","0","1","2","3"
"ป.ตรีการจัดการทรัพยากรบุคคล","1","0","2","3","0","3"
"เกษตร","1","0","2","3","0","3"
"Electrical Engineer","0","0","3","3","0","3"
"วิทยาศาสตร์บัณฑิต","0","0","3","3","0","3"
"สาขาบัญชี หรือสาขาที่เกี่ยวข้อง","0","0","3","3","0","3"
"ป.ตรีวิศวกรรมสิ่งแวดล้อม","0","0","3","3","0","3"
"ป. ตรีประถมศึกษา (วิทยาศาสตร์ทั่วไป)","0","1","2","3","0","3"
"วิศวกรรมโลจิสติกส์","3","0","0","3","0","3"
"ป.ตรีวิศวกรรมอิเลกทรอนิกส์","3","0","0","3","0","3"
"ป.ตรีการโรงแรมและการท่องเที่ยว","0","0","3","3","0","3"
"สาธารณสุข","1","1","1","3","0","3"
"ป.ตรีการเงิน","0","1","2","3","0","3"
"ป.ตรีคณิตศาสตร์ / สถิติ","0","3","0","3","0","3"
"ป.ตรีมัธยมศึกษา วิชาเอกคอมพิวเตอร์การศึกษา","0","0","3","3","0","3"
"วิศวกรก่อสร้าง","0","0","3","3","0","3"
"ป.ตรีเทคโนโลยีการเกษตร วิชาเอกเทคโนโลยีพืชสวน","0","0","3","3","0","3"
"ป.ตรีวิศวกรรมอุตสาหการ","1","1","1","3","0","3"
"ป.ตรีการท่องเที่ยวและการโรงแรม","0","0","2","2","0","2"
"ป.ตรีการบริหารธุรกิจ แขนงวิชาการตลาด","1","1","0","2","0","2"
"ป.ตรีเครื่องกล(วิชาเอกเทคนิคช่างยนต์)","2","0","0","2","0","2"
"ป.ตรีการจัดการงานคอมพิวเตอร์และวิศวกรรม","1","1","0","2","0","2"
"ป.ตรีเทคโนโลยีคอมพิวเตอร์","0","1","1","2","0","2"
"Logistic or any related field","0","1","1","2","0","2"
"ภูมิทัศน์สถาปัตย์พืชสวน","0","0","2","2","0","2"
",สัตวแพทย์","1","1","0","2","0","2"
"ป.ตรีไฟฟ้าอิเลคทรอนิคส์","2","0","0","2","0","2"
"ป.ตรีช่างกลโรงงาน","2","0","0","2","0","2"
"ป.ตรีการบริหาร","0","2","0","2","0","2"
"ป.ตรีเทคโนโลยีการจัดการ","2","0","0","2","0","2"
"ป.ตรีการบริหารทั่วไป","0","1","1","2","0","2"
"ป.ตรีวิทยาศาสตร์สิ่งแวดล้อม / วิทยาศาสตร์การอาหาร","1","0","1","2","0","2"
"ป.ตรีวิทยาศาสตร์และเทคโนโลยี การอาหาร","2","0","0","2","0","2"
"ป.ตรีเศรษฐศาสตร์การเงินและการคลัง","0","0","2","2","0","2"
"วิศวกรรมศาตร์ สาขาเครื่องกลหรือสาขาที่เกี่ยวข้อง","2","0","0","2","0","2"
"ป.ตรีการจัดการโรงแรม","0","2","0","2","0","2"
"สาขาใดก็ได้","0","0","2","2","0","2"
"ป.ตรีสาธาณะสุข","0","0","2","2","0","2"
"ป.ตรีเทคโนโลยีสิ่งแวดล้อม สาขาวิชาเฉพาะวิศวกรรมอนามัยสิ่งแวดล้อม","1","0","1","2","0","2"
"ป.ตรีนิติศาสตร์","1","0","1","2","0","2"
"ป.ตรีเศรษฐศาสตร์การเงินและการตลาด","0","0","2","2","0","2"
"วิศวะ","2","0","0","2","0","2"
"ป.ตรีศิลปการพิมพ์","2","0","0","2","0","2"
"ป.ตรีการบริหารธุรกิจ แขนงวิชาการบัญชี","0","0","2","2","0","2"
"การบริหาร","0","2","0","2","0","2"
