"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"ป.ตรีมัธยมศึกษา วิชาเอกคอมพิวเตอร์การศึกษา","0","0","3","3","0","3"
"ทางไฟฟ้ากำลัง","3","0","0","3","0","3"
"ป.ตรีการบัญชีต้นทุน","0","3","0","3","0","3"
"ปวส. เทคโนโลยีคหกรรมศาสตร์ทั่วไป","0","3","0","3","0","3"
"IT","2","1","0","3","0","3"
"ปวส. ช่างไฟฟ้า (ติดตั้งควบคุม)","3","0","0","3","0","3"
"สาขาบัญชีการเงิน","0","3","0","3","0","3"
"ป.ตรี วิศวเครื่องกล","1","0","2","3","0","3"
"ปวช. เครื่องกล","3","0","0","3","0","3"
"ปวส. พืชไร่-นา","3","0","0","3","0","3"
"ปวส. เทคโนโลยีคอมพิวเตอร์","2","1","0","3","0","3"
"Mechanical Engineer any field.","0","0","3","3","0","3"
"ปวส. เทคโนโลยีอาหารและโภชนาการ","1","1","1","3","0","3"
"ทุกสาขาวิชา","1","0","2","3","0","3"
"ป.ตรีการบริหารและการจัดการ","0","1","1","2","0","2"
"ทักษะในการบริหารจัดการ","2","0","0","2","0","2"
"วิศวะ","2","0","0","2","0","2"
"ปวส. ช่างสำรวจ","2","0","0","2","0","2"
"วิสวกรรม","0","0","2","2","0","2"
"ป.ตรีวิศวกรรมอิเลกทรอนิกส์","2","0","0","2","0","2"
"การบริการ","0","2","0","2","0","2"
"เขียนแบบ","0","0","2","2","0","2"
"ปวส. ช่างเขียนแบบเครื่องกล","2","0","0","2","0","2"
"ป.ตรีวิศวกรรมคอมพิวเตอร์และระบบอัติโนมัติ","2","0","0","2","0","2"
"ปวส.เครื่องกล","2","0","0","2","0","2"
"วิศวกรโยธา","1","0","1","2","0","2"
"วิศวกรรมไฟฟ้า","0","0","2","2","0","2"
"บริหารจัดการ","0","2","0","2","0","2"
"ป.ตรีเทคโนโลยีและสื่อสารการศึกษา","1","1","0","2","0","2"
"ป.ตรีกฏหมายทั่วไป","0","0","2","2","0","2"
"การตลาด/บริหารคอมพิวเตอร์","0","0","2","2","0","2"
"อุตสาหการ","0","0","2","2","0","2"
"ไฟฟา","2","0","0","2","0","2"
"การตลาดหรือสาขาที่เกี่ยวข้อง","0","0","2","2","0","2"
"ปวส. การจัดการ,บัญชี ,ทรัพยากรมนุษย์","0","2","0","2","0","2"
"วิศวกรรมการโยธา","2","0","0","2","0","2"
"ปวส.คอมพิวเตอร์ธุรกิจ","0","0","2","2","0","2"
"ช่างเชื่อมโลหะ","2","0","0","2","0","2"
"ป. ตรีการศึกษาปฐมวัย","0","1","1","2","0","2"
"อิเล็กทรอนิค","2","0","0","2","0","2"
"-อุตสาหกรรม -เทคโนโลยการผลิต-เครื่องกล","2","0","0","2","0","2"
"ป.ตรีครุศาสตร์ , ศึกษาศาสตร์","1","1","0","2","0","2"
"ป.ตรีบริหารการตลาด","0","0","2","2","0","2"
"กราฟฟิกส์ดีไซด์","1","0","1","2","0","2"
"ปวส. ช่างเขียนแบบโยธา","0","0","2","2","0","2"
"อีเล็กทรอนิค","2","0","0","2","0","2"
"ป. ตรีมัธยมศึกษา (ภาษาอังกฤษชั้นสูง)","1","1","0","0","2","2"
"ป.ตรีมนุษยศาสตร์ , มานุษยวิทยา","0","2","0","2","0","2"
"อาชีวอนามัยและความปลอดภัย","2","0","0","2","0","2"
"ปวช. เทคโนโลยีคอมพิวเตอร์","1","1","0","2","0","2"
"food,วิทยาศาสตร์,สัตวแพทย์","1","1","0","2","0","2"
"ความปลอดภัย อาชีวอนามัยหรือสาขาอื่นๆ ที่เกี่ยวข้อง","1","0","1","2","0","2"
"วิศวกรรมโลจิสติกส์","2","0","0","2","0","2"
"ปวส. บริหารงานก่อสร้าง","2","0","0","2","0","2"
