"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"-ก่อสร้าง","3","0","0","3","0","3"
"ป.ตรีการบริหารทรัพยากรมนุษย์","0","1","2","3","0","3"
"โลจิสติกส์ หรือสาขาที่เกี่ยวข้อง","0","0","2","2","0","2"
"ป.ตรีการจัดการ การบริหารทั่วไป","0","0","2","2","0","2"
"ป.ตรีการท่องเที่ยวและการโรงแรม","0","0","2","2","0","2"
"ปวส. ช่างโยธา","2","0","0","2","0","2"
"ป.ตรีการบริหารธุรกิจ แขนงวิชาการตลาด","1","1","0","2","0","2"
"การออกแบบ/กราฟิกดีไซต์","0","1","1","2","0","2"
"สารสนเทศและคอมพิวเตอร์","0","0","2","2","0","2"
"การเงินการบัญชี","0","0","2","2","0","2"
"ป.ตรีการจัดการงานคอมพิวเตอร์และวิศวกรรม","1","1","0","2","0","2"
"ปวส. นิเทศศิลป์","0","0","2","2","0","2"
"ช่างอุตสาหกรรมหรือที่เกี่ยวข้อง","1","1","0","2","0","2"
"ปวส.การบัญชี","0","0","2","2","0","2"
"ปวส. เทคนิคเครื่องจักรกลเครื่องประดับอัญมณี","2","0","0","2","0","2"
"ป.ตรีอุตสาหกรรม","2","0","0","2","0","2"
"ป.ตรีช่างกลโรงงาน","2","0","0","2","0","2"
"ป.ตรีการบริหาร","0","2","0","2","0","2"
"ป.ตรีช่างก่อสร้าง","2","0","0","2","0","2"
"ป.ตรีเทคโนโลยีการจัดการ","2","0","0","2","0","2"
"ป.ตรีวิศวกรรมเคมีและเทคนิควัสดุ / สิ่งทอ","0","0","2","2","0","2"
"ป.ตรีการบริหารทั่วไป","0","1","1","2","0","2"
"ช่างแอร์/ไฟฟ้า","2","0","0","2","0","2"
"ป.ตรีวิทยาศาสตร์สิ่งแวดล้อม / วิทยาศาสตร์การอาหาร","1","0","1","2","0","2"
"สาขาอุตสาหการ","2","0","0","2","0","2"
"สาขาไฟฟ้ากำลังหรือสาขาที่เกี่ยวข้อง","0","0","2","2","0","2"
"ป.ตรีวิทยาศาสตร์และเทคโนโลยี การอาหาร","2","0","0","2","0","2"
"ป.ตรีบริหารธุรกิจระหว่าง ประเทศ","0","2","0","2","0","2"
"วิศวกรรมศาสตร์","2","0","0","2","0","2"
"ป.ตรีการบริหารธุรกิจ แขนงวิชาการเลขานุการ","0","2","0","2","0","2"
"ป.ตรีวิศวกรรมอุตสาหการ (เชื่อมประสาน)","2","0","0","2","0","2"
"Material Science, Chemical Engineering, Chemistry","0","0","2","2","0","2"
"การโรงแรม","2","0","0","2","0","2"
"Electrical Engineering","0","0","2","2","0","2"
"ปวส. เทคโนโลยีคหกรรมศาสตร์ทั่วไป","0","2","0","2","0","2"
"บัญชี ไม่จำกัดสาขา","1","0","1","2","0","2"
"ืที่เกี่ยวข้อง","2","0","0","2","0","2"
"บัญชี/บริหาร","0","2","0","2","0","2"
"ช่างไฟ","2","0","0","2","0","2"
"สาขาวิชาช่างซ่อมบำรุง","2","0","0","2","0","2"
"ก่อสร้าง/วิศวกรรมศาตร์","2","0","0","2","0","2"
"ปวส.อิเล็คทรอนิกส์","2","0","0","2","0","2"
"ป.ตรีวิทยาศาสตร์-เคมี","1","1","0","2","0","2"
"ปวส. การบริหารงานคหกรรมศาสตร์","0","2","0","2","0","2"
"ป.ตรีบริหารธุรกิจ","0","1","1","2","0","2"
"วิศวกรรมไฟฟ้าอิเล็คทรอนิกส์ และสาขาอื่นๆที่เกี่ยวข้อง","1","0","1","2","0","2"
"ปวส. ภาษาต่างประเทศ ภาษาธุรกิจ","1","1","0","2","0","2"
"ความปลอดภัย อาชีวอนามัยหรือสาขาอื่นๆ ที่เกี่ยวข้อง","0","0","2","2","0","2"
"ป.ตรีวิศวกรรมไฟฟ้า (เทคโนโลยีไฟฟ้าอุตสาหกรรม)","2","0","0","2","0","2"
"ป.ตรีบริหารธุรกิจ วิชาเอกบริหารธุรกิจ-การตลาด","0","0","2","2","0","2"
"วิชาการบัญชี","1","1","0","2","0","2"
"ป.ตรีวิศวกรรมเขียนแบบและออกแบบการผลิต","0","0","2","2","0","2"
"วิทยาศาสตร์","0","0","2","2","0","2"
"ป.ตรีคอมพิวเตอร์และเทคโนโลยีสารสนเทศ","0","0","2","2","0","2"
"Information and Technology หรือที่เกี่ยวข้อง","1","0","1","2","0","2"
"ป.ตรีการจัดการทั่วไป และสาขาที่เกี่ยวข้อง","0","0","2","2","0","2"
"สิ่งแวดล้อม อาชีวอนามัย หรือสาขาที่เกี่ยวข้อง","0","0","2","2","0","2"
